donor,queue,account,runtime,abests_and_mutmodels_n_cores,ab_covariates_n_cores,restart_times,joblimit,other_snakemake_args
___INTERNAL___panel,priopark,park_contrib,3600,0,0,2,2000,--notemp --slurm
BU_UNITE_VA190106,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
BU_UNITE_VA301159,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
HBTRCS08631,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
HBTRCS13034,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1300,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1334,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1353,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1456,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1647,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1653,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1700,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1792,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1828,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1844,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1973,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC1995,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC2036,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC2207,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC2208,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC4556,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
MADRC5222,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB1278,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB1465,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB4638,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB4643,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB4976,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5087,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5171,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5219,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5451,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5511,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5532,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5559,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5572,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5657,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5666,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5817,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5823,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5840,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5871,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB5943,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB6004,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
UMB936,priopark,park_contrib,720,4,2,0,500,--notemp --slurm
